Turkish,Farsi
ab,آب
abadi,آبادی
abanoz,آبنوس
abat,آباد
abdest,آبدست
abdesthane,آبدست
afacan,آفت
aferin,آفرین
âfitab,آفتاب
afsun,افسون
âgâh,آگاه
aguş,آغوش
ahar,آهار
ahır,آخور
ahenk,آهنگ
ahenktar,آهنگدار
aheste,آهسته
ahu,آهو
ahund,آخوند
âlâyiş,آلایش
alıç,آلوچه
amaç,آماج
amade,آماده
ambar,انبار
arasta,آراسته
arış,آرش
armudi,امرودی
armudiye,امرودیه
armut,امرود
arzu,آرزو
asayiş,آسایش
astar,آستر
asude,آسوده
asuman,آسمان
aşikâr,آشکار
aşikâre,آشکارا
aşina,آشنا
aşiyan,آشیان
aşüfte,آشفته
ateş,آتش
ateşbaz,آتش
ateşin,آتشین
ateşperest,آتشپرست
avare,آواره
avaz,آواز
avize,آویز
ayin,آیین
ayinecem,آیین
ayna,آینه
azade,آزاده
azar,آزار
azat,آزاد
azer,آذر
Azeri,آذری
baca,باجه
bacak,پاچه
baç,باج
bad,باد
bade,باده
badem,بادام
badısaba,باد
bağ,باغ
bahadır,بهادر
Bahai,بهائی
bahane,بهانه
bahar,بهار
bahariye,بهاریه
bahçe,باغچه
bahçıvan,باغچه
bahşiş,بخشش
baht,بخت
bahtiyar,بختیار
bahusus,باخصوص
balar,بالار
bamya,بامیه
bânû,بانو
baran,باران
bargâh,بارگاه
barhane,بارخانه
bari,باری
barudi,بارودی
barut,بارود
baruthane,بارود
bayati,بیاتی
bayatiaraban,بیاتی
baziçe,بازیچه
becayiş,بجایش
bed,بد
bedava,بادهوا
bedbaht,بدبخت
bedbin,بدبین
bedesten,بزستان
bedhah,بد
bednam,بدنام
behemehâl,به
beher,به
behişt,بهشت
behram,بهرام
behre,بهره
bel,بل
beli,بلی
bende,بنده
bendegân,بندگان
bendehane,بنده
bendezade,بنده
bent,بند
beraber,برابر
berbat,برباد
berber,بربر
berceste,برجسته
berduş,بردوش
bergüzar,برگزار
berhane,بارخانه
berhudar,برخوردار
berna,برنا
beste,بسته
bestekâr,بسته
bestenigâr,بسته
beşe,بشه
beşme,بشمه
beter,بدتر
beyaban,بیابان
beygir,بارگیر
beyhude,بیهوده
beynamaz,بی
bezirgân,بازارگان
bezm,بزم
bibaht,بی
bibehre,بی
biçare,بی
bidar,بیدار
bigâne,بیگانه
bigünah,بی
bihuş,بی
bikes,بی
biperva,بی
birader,برادر
birun,بیرون
biryan,بریان
bitap,بی
bizar,بیزار
borani,بورانی
bostan,بوستان
böbür,ببر
bumbar,مبار
buse,بوسه
bülbül,بلبل
cadaloz,جادو
cadı,جادو
cafcaf,جاف
cam,جام
camadan,جامه
cambaz,جانباز
cambazhane,جانباز
camekân,جامه
can,جان
cana,جانا
canan,جانان
canavar,جانور
canfes,جانفس
canfeza,جان
canhıraş,جانخراش
cansiperane,جانسپرانه
cehre,چهره
cendere,جندره
cengâver,جنگاور
cengel,جنگل
cenk,جنگ
cephane,جبه
cevher,گوهر
cevşen,جوشن
cıva,جیوه
ciğer,جگر
ciğerpare,جگر
cihan,جهان
cihangir,جهانگیر
cihangirane,جهانگیرانه
cihannüma,جهان
cihanşinas,جهانشناس
cihanşümul,جهان
cihar,چهار
ciharıdü,چهار
ciharıse,چهار
ciharıyek,چهار
cilve,جلوه
cilvebaz,جلوه
cilvekâr,جلوه
cimri,جمری
civan,جوان
civanmert,جوانمرد
cop,چوب
coşmak,جوشیدن
cömert,جوانمرد
cumba,جنبد
cuşiş,جوشش
cuşuhuruş,جوش
cüce,جوجه
cücük,جوجک
cüda,جدا
cümbüş,جنبش
çabuk,چابک
çadır,چادر
çağla,چغاله
çak,چاک
çakal,شغال
çaker,چاکر
çakşır,چاقشور
çalak,چالاک
çalpara,چارپاره
çamaşır,جامه
çamaşırhane,جامه
çangal,جنگل
çaparız,چپ
çapraz,چپ
çaprazvari,چپ
çardak,چهارطاق
çare,چاره
çargâh,چارگاه
çark,چرخ
çarkıfelek,چرخ
çarmıh,چهارمیخ
çarnaçar,چار
çarşaf,چادرشب
çarşamba,چهارشنبه
çarşı,چهارسو
çavdar,چودار\چاودار
çeç,چچ
çehre,چهره
çeltik,شلتوک
çember,چنبر
çene,چانه
çenebaz,چانه
çengel,چنگال
çengi,چنگی
çengüçegane,چنگ
çenk,چنگ
çerçeve,چهارچوب
çerez,چرش
çerviş,چربش
çeşit,چشیدن
çeşm,چشم
çeşme,چشمه
çeşmibülbül,چشمه
çeşni,چاشنی
çevgen,چوگان
çevik,چابک
çeyrek,چهار
çıfıt,جهود
çınar,چنار
çıra,چراغ
çırağ,چراغ
çırağan,چراغان
çırak,چراغ
çırakma,چراغ
çift,جفت
çifte,جفته
çiftehane,جفتی
çile,چله
çilehane,چله
çilekeş,چله
çilingir,چلنگر
çini,چینی
çiriş,سریش
çirkef,چرک
çirkin,چرکین
çoban,چوپان
çolpa,چلاه
çorak,شورک
çorap,جوراب
çorba,شوربا
çöp,چوب
çuha,جوخه
çuhadar,جوخه
çulha,جلاه
çuval,جوال
çuvaldız,جوالدوز
çünkü,چونکه
dadı,دادو
dağ,داغ
dağar,تغار
damat,داماد
dânâ,دانا
dane,دانه
danişment,دانشمند
dar,دار
darbuka,تنبک
daru,دارو
daye,دایه
dehliz,دهلیز
dek,دک
dem,دم
dembedem,دم
demkeş,دمکش
derbeder,دربدر
derbent,دربند
derdest,دردست
dergâh,درگاه
derkenar,درکنار
derman,درمان
dermeyan,در
derpiş,درپیش
dert,درد
deruhte,در
derun,درون
deruni,درونی
derviş,درویش
dervişane,درویشانه
derya,دریا
deryadil,دریا
destan,داستان
destani,داستانی
destar,دستار
destari,دستاری
deste,دسته
destegül,دسته
destek,دستک
destur,دستور
dev,دیو
devasa,دیواسا
diba,دیبا
didar,دیدار
dide,دیده
dideban,دیده
diğer,دیگر
diğergâm,دیگرکام
dil,دل
dilaver,دلاور
dilbaz,دل
dilber,دلبر
diriğ,دریغ
dival,دیوال
divan,دیوان
divane,دیوانه
Divanıhümayun,دیوان
[divān-e,humāyūn]
dizdar,دیزدار
dolap,دولاب
dost,دوست
dostane,دوستانه
dubara,دوباره
dudu,طوطی
dut,دود
duvar,دیوار
dübeş,دوبش
düçar,دچار
dügâh,دوگاه
dülger,دودگر
dümbelek,دنبک
dümdar,دم
dürbün,دوربین
dürüst,درست
dürüşt,درشت
düse,دو
düşeş,دو
düşman,دشمن
düyek,دو
ebru,ابرو
efsane,افسانه
efsanevi,افسانه
efsun,افسون
efsunkâr,افسونکار
eğer,اگر
ejder,اژدر
ejderha,اژدرها
encam,انجام
encümen,انجمن
endam,اندام
endaze,اندازه
enderun,اندرون
endişe,اندیشه
engel,انگل
erguvan,ارغوان
erguvani,ارغوانی
enişte,انگشته
erişte,رشته
eskülabi,از
eyvah,ایواه
eyvan,ایوان
ezber,ازبر
fağfur,فغفور
fağfuri,فغفوری
fahte,فاخته
Fars,فارس
Farisi,فارسی
faş,فاش
fent,فند
fer,فر
ferah,فراخ
ferahi,فراخی
ferda,فردا
ferhane,فر
feriştah,فرشته
ferişte,فرشته
ferman,فرمان
fersah,فرسخ
fersude,فرسوده
feryat,فریاد
ferz,فرض
fıstık,پسته
figan,فغان
fihrist,فهرست
fil,فیل\پیل
fincan,فنجان\پنگان
firuze,فیروزه
fişek,فشنگ
fişekhane,فشنگ
Frenk,فرنگ
futa,فوته
fürumaye,فرومایه
füsun,فسون
füsunkâr,فسونکار
gâh,گاه
gâhi,گاهی
gavur,گبر
geda,گدا
gelmiç,گلمچ
gerçi,گرچه
gerdan,گردن/
gerdaniye,گرادنیه
gerdek,گردک
gergedan,کرگدن
gergef,گرگو
geriz,گریز
geveze,گپ
gevher,گوهر
gez,گز
gezi,گزی
giranbaha,گرانبها
girdap,گرداب
girift,گرفت
giriftar,گرفتار
giriftzen,گرفتزن
girizgâh,گریزگاه
gonca,غنچه
gözde,گزیده
güderi,گودری
güderihane,گودری
güdük,کودک
güfte,گفته
güherçile,گوهر
gül,گل
gülabdan,گلابدان
gülbahar,گلبهار
gülbank,گل
gülbeşeker,گلبشکر
güldeste,گلدسته
gülgüli,گل
gülistan,گلستان
güllaç,گلاج\
gülşen,گلشن
gümrah,گمراه
günah,گناه
günahkâr,گناهکار
gürbüz,گربز
Gürcü,گرجی
güruh,گروه
gürz,گرز
güya,گویا
güzaf,گزاف
güzergâh,گذرگاه
güzeşte,گذشته
güzide,گزیده
hab,خواب
hafta,هفته
hâk,خاک
hâkî,خاکی
halile,هلیله
ham,خام
han,خان
handan,خندان
hande,خنده
hane,خانه
hanedan,خاندان
hanende,خواننده
hankah,خانگاه
hanuman,خانمان
hara,خرا
hare,خاره
harman,خرمن
hasta,خسته
hastane,خسته
havan,هاون
havlıcan,خولنجان
havuç,هویج
havut,هوید
haya,خایه
hayhuy,های
hayli,خیالی
hazan,خزان
hazandide,خزاندیده
hele,هله
hem,هم
hemdert,هم
hemen,همان
hempa,همپا
hemşehri,همشهری
hemşire,همشیره
hemşirezade,همشیره
hemzemin,همزمین
hengâm,هنگام
hengâme,هنگامه
henüz,هنوز
hep,همه
her,هر
hercai,هرجایی
hercümerç,هرج
hergele,خرگله
herkes,هرکس
herze,هرزه
hevenk,آونگ
hezaren,هزران
hırdavat,خرده
hışım,خشم
hıyaban,خیابان
hıyar,خیار
hıyarşembe,خیارشنبه
hiç,هیچ
hidiv,خدیو
Hindu,هندو
hoca,خواجه
hodbehot,خود
hodbin,خودبین
hodkâm,خودکام
hodpesent,خودپسند
hor,خور
horanta,خورنده
Horasan,خراسان
Horasani,خراسانی
horoz,خروس
hoş,خوش
hoşaf,خوش
hoşnut,خشنود
humbara,خمپاره
humbarahane,خمپاره
hun,خون
hunhar,خونخوار
hunriz,خونریز
hurda,خرده
hurdahaş,خرده
hurma,خرما
huruşan,خروشان
huy,خوی
Hüda,خدا
Hüma,هما
hümayun,همایون
hüner,هنر
hünkâr,خونکار
hüveyda,هویدا
ibrik,ابریق
ibrişim,ابریشم
İsfahan,اصفهان
iğdiş,ایکدش
incir,انجیر
isfendan,اسفندان
işkembe,شکمبه
işkence,شکنجه
İzed,ایزد
jale,ژاله
kâgir,کارگیر
kâğıt,کاغذ
kâh,کاه
kahraman,قهرمان
kâhya,کدخدا
kâkül,کاکل
kalender,قلندر
kalenderî,قلندری
kalenderiye,قلندریه
kaltaban,کلتبان
kâm,کام
kâr,کار
kârgir,کارگیر
karpuz,خربزه
kâse,کاسه
kâşane,کاشانه
kavga,غوغا
kayısı,قیسی
kehkeşan,کهکشان
kehribar,کهربا
kel,کل
kelek,کالک
kelem,کلم
kelepçe,کلبچه
kelepser,کلبسر
kelle,کله
kem,کم
keman,کمان
kemane,کمانه
kemani,کمانی
kemankeş,کمانکش
kemençe,کمانچه
kement,کمند
kemer,کمر
kemha,کمخا
kenar,کنار
kene,کنه
kengel,کنگر
kenger,کنگر
kepaze,کباده
kepçe,کفچه
ker,کر
kereste,کراستی
kereviz,کرفس
kerhane,کارخانه
keriz,کاریز
kervan,کاروان
kervansaray,کاروان
kese,کیسه
kesedar,کیسه
keş,کش
keş,کش
keşide,کشیده
keşiş,کشیش
keşişhane,کشیش
keşke,کاشکی
keşkek,کشکک
keşki,کاشکی
keşkül,کشکول
keşmekeş,کشمکش
kethüda,کدخدا
kevel,کبل
kevgir,کفگیر
kezzap,تیزاب
ki,که
kil,گل
kildan,گلدان
kiler,کلار
kilermeni,گلارمنی
kilim,گلیم
kilit,کلید
kin,کین
kindar,کینه
kirde,گرده
kireç,گرچ
kişmiş,کشمش
kişniş,کشنش
koz,گوز
koza,غوزه
köfte,کوفته
köftehor,کوفته
köfter,کفتر
köhne,کهنه
kök,کوک
kömüş,گاومیش
kör,کور
köre,کوره
kös,کوس
köse,کوسه
kösele,گوساله
köşe,گوشه
köşebent,گوشه
köşk,کوشک
köşker,کفشگر
kötek,کتک
köy,کوی
kûçe,کوچه
kûhi,کوهی
kulübe,کلبه
kumbara,خمپاره
kumbarahane,خمپاره
kumru,قمری
kunt,کند
kurnaz,قرناس
kükürt,گوگرد
külah,کلاه
külçe,کولیچه
külhan,گلخان
külhani,گلخانی
külünk,کلنگ
kümbet,گنبد
küncü,کنجد
künde,کنده
künk,کونک
küspe,کوسبه
küstah,گستاخ
küşade,گشاده
küşat,گشاد
küşayiş,گشایش
laciverdî,لاجوردی
lacivert,لاجورد
laden,لادن
lades,یاد
laf,لاف
lafazan,لاف
lafügüzaf,لاف
lagar,لاغر
laklak,لقلق\لکلک
lal,لال
lala,لالا
lale,لاله
lalezar,لاله
lalüebkem,لال
lapçın,لاپچین
laşe,لاشه
lavaş,لواش
lebalep,لبالب
lebiderya,لبدریا
leblebi,لبلبو
leğen,لگن
leke,لکه
lenger,لنگر
lep,لب
lerzan,لرزان
lerze,لرزه
leş,لاش
leşker,لشکر
levendane,لوندانه
levent,لوند
leylek,لک
lime,لیمه
Lor,لر
lük,لوک
lüle,لوله
madara,مادرا
mader,مادر
maderşahi,مادر
maderzat,مادر
madrabaz,مدره
mahiye,ماهیه
mahur,ماهور
mahya,ماهیا
mala,ماله
marpuç,مارپیچ
marsıvan,مرزبان
maş,ماش
maşa,ماشه
mat,مات
maya,مایه
mayhoş,میخوش
maytap,ماه
mazı,مازو
meğer,مگر
meğerki,مگر
mehtap,مهتاب
mehter,مهتر
mehteran,مهتران
mehterhane,مهتر
mekik,مکوک
mendebur,مندبور
menekşe,بنفشه
menent,مانند
meneviş,منویش
menteşe,بندکشه
mercanköşk,مرزنگوش
mercimek,مرجمک
merdane,مردانه
merdikıpti,مرد
merdiven,نردبان
merdumgiriz,مردم
mert,مرد
merzengûş,مرزنگوش
mest,مست
mestane,مستانه
meşe,بیشه
meşin,مشین
mey,می
meyan,میان
meyan,میان
meyane,میانه
meyhane,میخانه
meyve,میوه
meyvedar,میوه
meyvehoş,میوه
meze,مزه
mıh,میخ
mihman,مهمان
mihmandar,مهماندار
mihrace,مهراجه
mine,مینا
mintan,نیمتن
mir,میر
mirî,میری
mirza,میرزا
mûbed,موبد
mum,موم
mumhane,موم
mumya,مومیایی
murdar,مردار
murt,مرد
muşta,موشته
muştu,مژده
mutaf,مویتاب
müft,مفت
mühre,مهره
mühresenk,مهره
mühür,مهر
mühürdar,مهردار
müjde,مژده
müjgân,مژگان
mürdesenk,مرده
mürt,مرد
mürver,مردبر
müslüman,مسلمان
nabekâr,نابکار
nacak,ناچخ
naçar,ناچار
naçiz,ناچیز
naçizane,ناچیزانه
nadan,نادان
nadide,نادیده
nagehan,ناگهان
nahoş,ناخوش
nalan,نالان
nale,ناله
nalekâr,ناله
nam,نام
namaz,نماز
namazgâh,نمازگاه
namdar,نامدار
name,نامه
namert,نامرد
namıdiğer,نام
namlu,ناملو
namzet,نامزد
nan,نان
nankör,نان
nar,نار
nardenk,ناردنگ
nardin,ناردن
narenciye,نارنجیه
narenç,نارنج
nargile,نارگله
narh,نرخ
narin,نارین
narven,نارون
naz,ناز
nazenin,نازنین
nazik,نازک
nazikâne,نازکانه
neft,نفت
neftî,نفتی
nekes,ناکس
ne…ne…,نه
nem,نم
nergis,نرگس
neşter,نیشتر
neva,نوا
nevaziş,نوازش
nevbahar,نوبهار
nevmit,ناامید
nevruz,نوروز
nevzat,نوزاد
ney,نی
neyçe,نی
neyzen,نی
nezt,نزد
nihale,نهاله
nihan,نهان
nihavent,نهاوند
nikbin,نیکبین
nikriz,نیک
nilüfer,نیلوفر
nim,نیم
nirengi,نرنگی
nişaburek,نیشابورک
nişadır,نشادر
nişan,نشان
nişane,نشانه
nişangâh,نشان
nişasta,نشاسته
niyaz,نیاز
nohudi,نخودی
nohut,نخود
numune,نمونه
nühüft,نهفت
nümayiş,نمایش
nümayişkâr,نمایشکار
orospu,روسپی
oruç,روزه
pabuç,پاپوش
paça,پاچه
padişah,پادشاه
padişahi,پادشاهی
pafta,بافته
pah,پاخ
paha,بها
pak,پاک
palan,پالان
palas,پلاس
palaspare,پلاس
paldım,پالدم
pamuk,پنبه
panzehir,پادزهر
para,پاره
parça,پارچه
pare,پاره
pars,پارس
parsa,پارسه
payan,پایان
payanda,پاینده
paye,پایه
payidar,پایدار
payitaht,پایتخت
pazar,بازار
pazı,بازو
pazubent,بازوبند
pazvant,پاسبان
peder,پدر
pederane,پدرانه
pederşahi,پدرشاهی
pehlevî,پهلوی
pehlivan,پهلوان
pehlivanane,پهلوانانه
pehpeh,به
pejmürde,پژمرده
pelenk,پلنگ
pelesenk,پارسنگ
pelte,پالوده
pembe,پنبه
pembezar,پنبهزار
pencere,پنجره
pencik,پنج
pencüdü,پنج
pencüse,پنج
pencüyek,پنج
pençe,پنجه
pençgâh,پنجگاه
pendname,پندنامه
perakende,پراکنده
perçem,پرچم
perçin,پرچین
perdah,پرداخت
perde,پرده
perdedar,پرده
peren,پرن
perende,پرنده
perestiş,پرستش
perestişkâr,پرستشکار
pergel,پرگار
perhiz,پرهیز
perhizkâr,پرهیزکار
peri,پری
perişan,پریشان
persenk,پارسنگ
perşembe,پنجشمبه
perva,پروا
pervane,پروانه
pervaz,پرواز
pervin,پروین
pes,بس
pest,پست
pespaye,پست
pesüs,پیه
peş,پس
peş,پیش
peşin,پیشین
peşinat,پیشینات
peşinen,پیشینا
peşkeş,پیشکش
peşkir,پیشگیر
peşrev,پیشرو
peştahta,پیش
peştamal,پشتمال
Peştu,پشتو
pey,پی
peyapey,پیاپی
peyda,پیدا
peyderpey,پیدرپی
peygamber,پیغمبر
peygamberane,پیغمبرانه
peygambervari,پیغمبرواری
peyk,پیک
peyke,پایگاه
peynir,پنیر
peynirhane,پنیر
peyrev,پیرو
pezevenk,پژوند
pıhtı,پخته
pırazvana,برازبان
piç,پیچ
pijama,پی
pilav,پلو
pinhan,پنهان
pir,پیر
pirifâni,پیر
pirinç,برنج
pirinç,برنج
pirüpak,پیروپاک
pişdar,پشتدار
pişekâr,پیشه
pişman,پشیمان
pişmaniye,پشمک
piyade,پیاده
piyale,پیاله
piyaz,پیاز
polat,پولاد
post,پوست
postal,پستگل
postnişin,پوست
poşu,پوشی
pota,بوته
pösteki,پستکی
pul,پول
puşt,پشت
put,بت
putperest,بتپرست
pür,پر
pürüz,پرز
rahne,رخنه
raht,رخت
rahvan,راهبان
ram,رام
rast,راست
rast,راست
rast,راست
rastık,راستخ
ravent,راوند
reçel,رچال
reftiye,رفتیه
reha,رها
rehber,رهبر
rencide,رنجیده
rençper,رنجبر
rende,رنده
rengârenk,رنگارنگ
renk,رنگ
reva,روا
revan,روان
revani,روانی
reviş,روش
rezene,رازیانه
rıh,ریگ
rıhdan,ریگدان
rıhtım,ریختم
rindane,رندانه
rint,رند
rûberû,روبرو
rugan,روغن
rustai,روستایی
ruz,روز
ruznamçe,روزنامچه
ruzname,روزنامه
ruzuşeb,روز
rüsva,رسوا
rüzgâr,روزگار
sade,ساده
sagar,صاغر
sahte,ساخته
sahtekâr,ساخته
sahtiyan,ساختیان
salname,سالنامه
santur,سنتور
santuri,سنتوری
saray,سرای
sarban,ساربان
sarhoş,سرخوش
satranç,شطرنج
saye,سایه
sayeban,سایه
sayvan,سایه
saz,ساز
sazende,سازنده
sazkâr,ساز
sebayüdü,سه
sebze,سبزه
sebzevat,سبزیوات
segâh,سه
seğmen,سگبان
sehpa,سه
sekban,سگبان
seme,سمه
semender,سمندر
sepet,سبد
ser,سر
serap,سراب
serapa,سر
serazat,سر
serbaz,سرباز
serbest,سربست
serbestî,سربستی
serçin,سر
serdar,سردار
serdümen,سردومن
serencam,سرانجام
sergerde,سر
sergüzeşt,سرگذشت
serhat,سرحد
serkeş,سرکش
serlehva,سرلوحه
sermaye,سر
sermayedar,سر
sermest,سرمست
sermestane,سرمستانه
sermestî,سرمستی
serpuş,سرپوش
sersem,سرسام
serseri,سرسری
sert,سرد
sertap,سرتاب
serüven,سروان
servi,سرو
seryaver,سر
serzeniş,سرزنش
seyek,سه
seylap,سیلاب
seza,سزا
sille,سیله
sim,سیم
sima,سیما
simurg,سیمرغ
sincabi,سنجابی
sincap,سنجاب
sine,سینه
sini,سینی
sipah,سپاه
sipahi,سپاهی
sipariş,سفارش
siper,سپر
sirke,سرکه
sirkengebin,سرکنگبین
sirmo,سیرمو
sitayiş,ستایش
sitayişkâr,ستایشکار
sitem,ستم
sitemkâr,ستمکار
siyah,سیاه
siyahi,سیاهی
softa,سوخته
suntıraç,سمتراش
supara,سی
suzeni,سوزنی
suzidil,سوز
suzidilara,سوزدل
suzinak,سوزناک
sülük,زلو\زالو
sümbül,سنبل
sümbüli,سنبلی
sümbülteber,سنبل
sünepe,سنبه\سمبه
sürme,سرمه
süsen,سوسن
sütun,ستون
süvari,سواری
şad,شاد
şadırvan,شادروان
şah,شاه
şah,شاه
şahane,شاهانه
şahbaz,شاهباز
şahin,شاهین
şahmeran,شاهمران
şahmerdan,شاه
şahniş,شاهنشین
şahnişin,شاهنشین
şahtere,شاهتره
şakirt,شاگرد
şal,شال
şalaki,شالاکی
şalgam,شلغم
şali,شالی
şalvar,شلوار
şayan,شایان
şayeste,شایسته
şayet,شاید
şeb,شب
şebboy,شب
şebiarus,شب
şebiyelda,شب
şebnem,شبنم
şeftali,شفتالو
şehbender,شه
şehir,شهر
şehname,شهنامه
şehnaz,شهناز
şehriyâr,شهریار
şehzade,شهزاده
şeker,شکر
şekerpare,شکرپاره
şekerrenk,شکررنگ
şeş,شش
şeşcihar,شش
şeşper,ششپر
şeşüdü,شش
şeşüse,شش
şeşyek,شش
şev,شیب
şeyda,شیدا
şıp,شپ
şıra,شیره
şikâr,شکار
şikemperver,شکمپرور
şikeste,شکسته
şimşir,شمشیر
şiraze,شیرازه
şirden,شیردان
şirin,شیرین
şirpençe,شیرپنجه
şişe,شیشه
şişhane,شیش
şive,شیوه
şivekâr,شیوه
şom,شوم
şuh,شوخ
ta,تا
tabütüvan,تاب
Tacik,تاجیک
tafta,تافته
tahra,دهره
taht,تخت
tahta,تخته
tahtaboş,تخته
tahtırevan,تخت
tane,دانه
tarçın,دارچین
tarçıni,دارچینی
tarhana,ترخانه
tarumar,تارومار
tasa,تاسه
tav,تاو
tava,تاوه
tavhane,تاوخانه
tay,تای
taya,دایه
taze,تازه
tazı,تازی
teber,تبر
tebeşir,تباشیر
tef,دف
tehi,تهی
tekâpu,تکاپو
temaşa,تماشا
tembel,تنبل
tembelhane,تنبل
tembul,تنبل
ten,تن
tendürüst,تندرست
teneşir,تنشویی
tenha,تنها
terane,ترانه
terazi,ترازو
terazi,ترازو
tere,تره
terme,ترمه
terütaze,تر
terzi,درزی
terzihane,درزی
teskere,دسکره
testere,دست
testi,دستی
teşne,تشنه
teşt,تشت
tez,تیز
tezene,تازیانه
tezgâh,دستگاه
tezgâhtar,دستگاه
tığ,تیغ
tığ,تیغ
tımar,تیمار
tımarhane,تیمار
tırabzan,داربزین
tıraş,تراش
tiftik,تفتیک
tirendaz,تیرانداز
tirit,ترید
tirşe,تراشه
tiz,تیز
tohum,تخم
tortu,دردی
tömbeki,تنباکو
tumturak,طمطراق
tun,تون
Turan,توران
Turani,تورانی
turfanda,ترونده
turp,ترب
turşu,ترشی
turuncu,ترنجی
turunç,ترنج
tüfek,تفنگ
tüfekhane,تفنگ
tülbent,دول
türban,دول
tüvana,توانا
umut,امید
usta,استا
ustura,استره
ümit,امید
üstadane,استادانه
üstat,استاد
vabeste,وابسته
vâlâ,وا
vareste,وارسته
vaşak,وشق
viran,ویران
virane,ویرانه
ya,یا
yaban,یابان
yâd,یاد
yadigâr,یادگار
yafta,یافته
yağma,یغما
yahni,یخنی
yahut,یاخود
yalpa,یال
yâr,یار
yâran,یاران
yardak,یاری
yardım,یاری
yâren,یارن
yasemin,یاسمین
yave,یاوه
yaver,یاور
ya…,ya…
yegâh,یگاه
yegân,یگان
yegâne,یگانه
yek,یک
yeknesak,یک
yekpare,یکپاره
yeksan,یکسان
yekta,یکتا
yelda,یلدا
yeşim,یشم
yezdan,یزدان
zade,زاده
zadegân,زادگان
zampara,زنباره
zari,zari
zayiçe,زایچه
zeban,زبان
zebanzet,زبانزد
zebun,زبون
zebunküş,زبون
zehir,زهر
zelber,سربار
zemberek,زنبورک
zemin,زمین
zen,زن
zenci,زنگی
zendost,زن
zengin,سنگین
zenne,زنانه
zer,زر
zerdali,زردآلو
zerde,زرده
zerdeçal,زرده
zerrin,زرین
zerzevat,سبزیجات
zeyrek,زیرک
zıh,زه
zımba,سنبه
zımpara,سنباده
zındık,زندیق
zırh,زره
zırnık,زرنیخ
zıvana,زبانه
zibidi,زیب\زیبی
zil,زیل
zincir,زنجیر
zindan,زندان
zinde,زنده
zinhar,زنهار
zir,زیر
zira,زیرا
ziyan,زیان
ziyankâr,زیانکار
zor,زور
zoraki,زورکی
zorba,زورباز
zurna,سرنا
zurnazen,سرنا
zülfüyâr,زلف
zülüf,زلف
Zümrüdüanka,سیمرغ
